Country Name,Series Name,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Mexico,GDP growth (annual %),5.74448504862428,4.41744413626853,3.39063970656844,8.95694232786306,9.69817013704461,8.75662242586424,9.58584115454994,-0.0495863656386035,-4.62412795987231,3.51341334932273,1.91921578613494,-3.92995990782299,2.06336322631584,1.21826122938586,3.62544873456009,5.25004329944582,3.97590497138043,3.56861354412243,2.86699945461075,4.39412788764169,-5.91029962358286,6.21829715869302,7.19887615284711,6.18507893082885,2.75503039300564,5.02928399378261,-0.450845253215945,-0.236588001922641,1.18554486709559,3.56544100946846,2.11324712586392,4.80501352746852,2.07786393438754,0.943331863036903,-6.29525055780502,4.9713345832195,3.44404505794418,3.55321075993527,0.852101559410627,2.50376350288664,2.70232342550646,1.77249323845399,1.87172853327193,1.97208210249194,-0.392690521579212,-8.3540345574586,6.04848344290505,3.68911109348025,3.19998116598492,..
Mexico,"Population, total",58982400,60645512,62308493,63979046,65648865,67300334,68892108,70433260,71971240,73506846,75043414,76585637,78136651,79695531,81247182,82820170,84430572,86044809,87653807,89259205,90862455,92452702,94021207,95575245,97115707,98625552,100099099,101548624,102978515,104394131,105811504,107253666,108774360,110374288,111999721,113623895,115243504,116818208,118343573,119784261,121072306,122251351,123400057,124573711,125762982,126799054,127648148,128613117,129739759,..
Mexico,Gini index,..,..,..,..,..,..,..,..,..,..,..,..,..,..,50.1,..,..,52.3,..,53.4,..,52,..,53.3,..,53.4,..,50.6,..,50.3,50.9,49.7,..,50.8,..,47.7,..,49.6,..,48.9,..,46.9,..,46,..,44.6,..,43.5,..,..
Mexico,"School enrollment, secondary (% gross)",30.9640293121338,34.4195594787598,36.9859580993652,38.3508491516113,41.4212493896484,43.9554405212402,47.4624214172363,52.3788185119629,55.0481300354004,57.0634384155273,57.4042701721191,58.7873115539551,58.9145088195801,58.6317100524902,57.9944000244141,56.6920013427734,55.7629089355469,55.768871307373,56.3448104858398,57.8301391601562,60.0490493774414,62.5155296325684,64.7584991455078,68.1834182739258,69.9513168334961,71.1195831298828,72.8832092285156,75.1482925415039,78.5541915893555,79.7827072143555,80.6305389404297,82.7013931274414,84.0887069702148,86.0763092041016,85.9423217773438,87.2729263305664,88.3800888061523,90.6936187744141,93.2623062133789,97.3196868896484,100.982269287109,102.871368408203,105.11018371582,105.964653015137,105.515609741211,102.58154296875,98.3202514648438,98.3576583862305,..,..
Mexico,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),..,..,..,..,..,..,..,..,..,..,..,..,..,..,8.7,..,..,7.9,..,7.9,..,14,..,15.2,..,10.7,..,7.5,..,7.2,7.8,5.4,..,6,..,4.7,..,4.2,..,4,..,2.3,..,1.9,..,2.1,..,1.2,..,..
Mexico,Poverty headcount ratio at $3.65 a day (2017 PPP) (% of population),..,..,..,..,..,..,..,..,..,..,..,..,..,..,23.5,..,..,20.9,..,21.7,..,32.1,..,30.6,..,23.6,..,20.6,..,17.7,17.8,15,..,16.6,..,14.3,..,13.5,..,13.1,..,8.9,..,7.8,..,8.2,..,4.7,..,..
Mexico,General government final consumption expenditure (% of GDP),10.3175545454545,11.0077461706783,10.760811249324,10.9198587933248,10.8968676662321,9.51091719531118,10.2009527982723,9.85257669872132,8.39115711126528,8.80251316670849,8.7214630318366,8.75656475980654,8.35812828183434,8.48490939682856,8.32743339061301,8.430745096664,9.11590346275984,9.94287452110455,8.57734983277767,8.97501349673226,8.04099372436735,7.66513804599418,7.85051211515208,8.03111070015044,8.68918618690726,9.03701601574593,9.35531059664665,9.83812245672762,10.4980403682373,10.0161818460585,10.0762299851121,9.89214269664029,9.94789283371053,10.2592375010335,11.3834438576777,11.2739649249476,11.3282462816794,11.4486765368681,11.7127320792546,11.7538929143727,11.901246126141,11.5736804911904,11.2156675514112,11.256296772473,11.1079031030718,12.1968302786958,11.4047335537777,11.0923787710267,11.1372250364127,..
Mexico,Exports of goods and services (% of GDP),6.89445454545455,8.48983223924143,10.3190914007572,10.4709713307659,11.1891623207301,10.1426200972023,9.86156842726433,14.4268658825073,18.1150347501194,16.5671428958152,14.5663148904797,16.682179926956,18.5365670042589,20.0960561464169,19.1321993029959,18.7044710491717,16.4333900336044,15.256744442975,11.5959846826597,12.7545957125272,22.8659269211958,24.7231319521416,23.2555721469271,23.221749395164,23.4168592490374,24.2311734715837,21.5412102021393,21.851761920846,23.6555935090553,25.1033560080055,25.4870738285114,26.5547481705759,26.7810613279257,27.0200612345202,26.5132697232887,29.0174601154993,30.4429662274867,31.539450391413,30.755800584349,31.462992199988,34.1627726873238,36.8156772514808,37.5140886198874,39.0439304419331,38.5296507981357,39.2353720920404,40.5691931934194,42.7321338900631,35.9817308051803,..
Mexico,Imports of goods and services (% of GDP),9.62009090909091,9.86724288840263,10.2221957815035,11.0397689345315,12.4509550195567,12.2919995532194,12.2557065163291,9.70714773923614,8.98106728574283,9.10527444882818,9.76497749918627,12.9240426630228,12.7257538385261,18.6942808014862,19.1974507744512,19.8152253641579,19.3531451238152,20.296751461137,14.5671388751711,16.403876421631,20.7999048051439,23.0446915817651,23.2363034246464,24.8101347448538,24.5953903270731,25.6792357227792,23.1988988041623,23.3580673330305,25.0448233717828,26.9372640255577,27.0755708232772,27.927367918041,28.4774630665241,29.3452206517371,28.0784724080616,30.2559244138859,31.7194210489631,32.7184814985984,31.9358741892317,32.6354168351336,36.2502019889402,38.8746261573743,39.438037420838,41.1687312149645,38.9323214713109,37.6191836167519,42.5001044268083,45.6549555869321,37.1760448278547,..
Mexico,"Inflation, consumer prices (annual %)",14.9445346409267,15.824722489347,29.0641247103461,17.4572925678265,18.1912462987643,26.3516513562834,27.9337625982399,58.9134198531048,101.874938435992,65.4488071277602,57.7484484008702,86.2333169923538,131.82738392309,114.162258549066,20.0078767139978,26.6516725646771,22.662359455061,15.5078962533573,9.75146045357553,6.96581237191123,34.9992712889592,34.3783832235168,20.6256287259247,15.9283950119353,16.5856169707538,9.49156149435403,6.36773806235037,5.03072733151295,4.54690012118718,4.68840884843143,3.98805714597437,3.62946762439132,3.96684905458235,5.12498274575896,5.29735584228856,4.15672722680174,3.40737824605742,4.11150981070289,3.80639069747204,4.01861608078679,2.72064064964023,2.8217078474766,6.04145724018986,4.89935015356551,3.63596142127046,3.39683415570006,5.68920847683753,7.8962761916855,5.52796087314389,4.72225588452932
